topic,month,comp,n1,n2,units,vocab,jsd,cos,llr,top1,top2
IllegalImmi,Mar,ER_R,357,577,nouns,2466,0.0976248,0.930168,5848.9,illegal;migrant;president;u.s.;immigrant;trump;alien;year;immigration;border,court;president;border;trump;immigrant;immigration;country;asylum;u.s.;year
IllegalImmi,Mar,ER_RC,357,240,tokens,2621,0.136015,0.74331,7678.45,releas;unit;democrat;nation;new;countri;alien;old;report;american,case;mexico;new;offici;seeker;countri;court;cross;'s;american
IllegalImmi,Mar,ER_RC,357,240,nouns,1870,0.150092,0.802704,5782.46,illegal;migrant;president;u.s.;alien;year;trump;immigrant;immigration;border,migrant;immigrant;mexico;u.s.;immigration;asylum;seeker;trump;border;year
IllegalImmi,Mar,ER_LC,357,743,tokens,3834,0.134468,0.746294,13228.4,nation;new;democrat;unit;countri;american;alien;presid;old;report,govern;administr;peopl;say;polici;presid;court;famili;mexico;seeker
IllegalImmi,Mar,ER_LC,357,743,nouns,2845,0.158617,0.797451,10677.6,illegal;migrant;immigrant;president;u.s.;trump;alien;year;immigration;border,policy;migrant;year;mexico;seeker;u.s.;immigration;border;trump;asylum
IllegalImmi,Mar,ER_L,357,165,tokens,2427,0.162622,0.704266,7256.62,nation;unit;report;new;alien;democrat;asylum;migrant;old;american,migrant;say;administr;children;donald;famili;mexico;seeker;asylum;'s
IllegalImmi,Mar,ER_L,357,165,nouns,1716,0.1835,0.753517,5474.41,illegal;u.s.;president;immigrant;trump;migrant;alien;year;immigration;border,country;child;seeker;year;immigration;trump;u.s.;border;president;asylum
IllegalImmi,Mar,R_RC,577,240,tokens,3161,0.111401,0.836451,7514.82,court;mexico;vote;countri;report;democrat;new;presid;alien;',american;offici;countri;migrant;mexico;cross;presid;new;court;seeker
IllegalImmi,Mar,R_RC,577,240,nouns,2226,0.120906,0.894748,5497.12,court;country;president;u.s.;immigrant;year;immigration;trump;asylum;border,immigrant;migrant;year;u.s.;immigration;seeker;asylum;border;trump;mexico
IllegalImmi,Mar,C_ER,306,357,tokens,2754,0.148526,0.706068,9662.79,week;peopl;new;countri;offici;court;say;seeker;'s;polici,releas;nation;unit;american;countri;new;report;democrat;old;alien
IllegalImmi,Mar,C_ER,306,357,nouns,1972,0.164848,0.790861,7494.01,court;u.s.;year;immigration;migrant;trump;seeker;asylum;border;mexico,illegal;year;border;u.s.;alien;trump;immigration;migrant;immigrant;president
IllegalImmi,Mar,C_R,306,577,tokens,3262,0.122126,0.797443,9827.06,peopl;say;countri;presid;migrant;seeker;mexico;court;polici;offici,court;mexico;vote;countri;report;democrat;';new;alien;presid
IllegalImmi,Mar,C_R,306,577,nouns,2304,0.136234,0.87594,7510.25,court;year;migrant;seeker;immigration;u.s.;asylum;trump;mexico;border,court;president;country;u.s.;asylum;immigrant;border;immigration;trump;year
IllegalImmi,Mar,C_RC,306,240,tokens,2472,0.0987886,0.891538,5118.62,cross;week;offici;peopl;say;presid;polici;unit;court;countri,law;offic;one;case;american;offici;countri;cross;presid;court
IllegalImmi,Mar,C_RC,306,240,nouns,1681,0.1003,0.953297,3705.19,court;year;border;immigration;trump;asylum;mexico;u.s.;migrant;seeker,immigrant;year;trump;seeker;immigration;asylum;mexico;migrant;u.s.;border
IllegalImmi,Mar,C_LC,306,743,tokens,3667,0.0893454,0.911149,7588.05,week;unit;new;peopl;countri;presid;polici;court;illeg;offici,illeg;countri;new;govern;administr;peopl;presid;polici;court;famili
IllegalImmi,Mar,C_LC,306,743,nouns,2643,0.0965137,0.960398,5819.78,court;year;migrant;seeker;trump;u.s.;asylum;border;mexico;immigration,policy;migrant;year;mexico;immigration;trump;seeker;border;asylum;u.s.
IllegalImmi,Mar,C_L,306,165,tokens,2263,0.142434,0.78052,5841.49,administr;cross;unit;week;peopl;new;polici;illeg;offici;court,week;nation;hous;one;white;new;administr;donald;famili;children
IllegalImmi,Mar,C_L,306,165,nouns,1530,0.146886,0.858646,4271.44,court;year;migrant;seeker;u.s.;asylum;mexico;border;immigration;trump,country;child;year;immigration;president;seeker;u.s.;asylum;border;trump
IllegalImmi,Mar,LC_R,743,577,tokens,4190,0.0978084,0.845164,12962.5,administr;peopl;presid;say;polici;famili;court;migrant;seeker;mexico,court;mexico;alien;countri;new;';presid;democrat;report;vote
IllegalImmi,Mar,LC_R,743,577,nouns,3114,0.118708,0.88968,10517.9,policy;migrant;year;mexico;u.s.;immigration;trump;asylum;border;seeker,court;president;year;country;asylum;immigration;border;trump;u.s.;immigrant
IllegalImmi,Mar,LC_RC,743,240,tokens,3583,0.099854,0.896227,7176.73,new;polici;presid;govern;say;court;administr;famili;state;peopl,offic;american;court;offici;countri;cross;state;new;presid;illeg
IllegalImmi,Mar,LC_RC,743,240,nouns,2568,0.109811,0.952209,5436.1,court;migrant;immigration;mexico;year;seeker;trump;u.s.;border;asylum,migrant;immigrant;seeker;immigration;year;asylum;mexico;trump;border;u.s.
IllegalImmi,Mar,L_R,165,577,tokens,2984,0.141424,0.791915,7181.55,new;migrant;say;countri;donald;famili;administr;children;seeker;mexico,migrant;mexico;court;vote;report;new;countri;alien;democrat;'
IllegalImmi,Mar,L_R,165,577,nouns,2088,0.15861,0.839358,5425.21,country;child;immigration;year;asylum;seeker;trump;president;border;u.s.,court;u.s.;country;president;immigrant;asylum;immigration;year;trump;border
IllegalImmi,Mar,L_RC,165,240,tokens,2169,0.150887,0.780558,5581.13,hous;'s;famili;white;one;donald;children;new;say;administr,feder;case;one;offic;american;'s;offici;court;cross;new
IllegalImmi,Mar,L_RC,165,240,nouns,1425,0.154693,0.838273,3970.53,country;trump;immigration;asylum;year;seeker;president;u.s.;child;border,migrant;immigrant;trump;immigration;mexico;u.s.;border;asylum;seeker;year
IllegalImmi,Mar,L_LC,165,743,tokens,3451,0.135872,0.839679,7384.46,one;new;say;administr;countri;mexico;presid;children;donald;famili,new;administr;govern;peopl;court;say;presid;famili;mexico;polici
IllegalImmi,Mar,L_LC,165,743,nouns,2439,0.151568,0.881578,5592.98,country;child;year;immigration;u.s.;seeker;president;trump;asylum;border,court;migrant;year;mexico;u.s.;seeker;trump;immigration;border;asylum
IllegalImmi,Apr,ER_R,359,708,tokens,3458,0.0777448,0.900795,7232.12,unit;court;law;countri;american;democrat;alien;mexico;citi;releas,hous;administr;unit;democrat;judg;citi;seeker;'s;court;mexico
IllegalImmi,Apr,ER_R,359,708,nouns,2591,0.0891863,0.941475,5860.32,illegal;migrant;year;alien;president;asylum;trump;u.s.;border;immigration,migrant;seeker;court;mexico;president;border;immigration;trump;asylum;immigrant
