k,comp1,comp2,Hop,comp,Features,bacc.protos,se.protos,bacc.svm,se.svm,n,corr,correlation,diff,by
16,R,LC,3,R-LC,BoW,0.5755,0.0038,0.699,0.0065,45,0.7473,strong (.6 .8],0.1235,Ideology
16,R,LC,3,R-LC,SBERT,0.5911,0.0062,0.6969,0.0062,45,0.8791,very strong (.8 1],0.1058,Ideology
16,R,L,4,R-L,BoW,0.5891,0.0034,0.7118,0.0043,45,0.545,moderate (.4 .6],0.1227,Ideology
16,R,L,4,R-L,SBERT,0.5917,0.0046,0.691,0.0042,45,0.5195,moderate (.4 .6],0.0993,Ideology
16,RC,C,1,RC-C,BoW,0.5397,0.0026,0.6249,0.0039,45,0.3566,low (.2 .4],0.0852,Ideology
16,RC,C,1,RC-C,SBERT,0.5418,0.0039,0.6134,0.0049,45,0.5965,moderate (.4 .6],0.0715,Ideology
16,RC,LC,2,RC-LC,BoW,0.5369,0.0021,0.6075,0.0039,45,0.2683,low (.2 .4],0.0706,Ideology
16,RC,LC,2,RC-LC,SBERT,0.5325,0.0029,0.5978,0.0037,45,0.5363,moderate (.4 .6],0.0653,Ideology
16,RC,L,3,RC-L,BoW,0.5909,0.0031,0.71,0.0042,45,0.4482,moderate (.4 .6],0.1191,Ideology
16,RC,L,3,RC-L,SBERT,0.6202,0.0049,0.7236,0.0043,45,0.4949,moderate (.4 .6],0.1033,Ideology
16,C,LC,1,C-LC,BoW,0.5381,0.0022,0.6199,0.0035,45,0.1916,negligible (-1 .2],0.0818,Ideology
16,C,LC,1,C-LC,SBERT,0.5417,0.0027,0.6087,0.0031,45,0.2312,low (.2 .4],0.0671,Ideology
16,C,L,2,C-L,BoW,0.5836,0.0034,0.7017,0.0034,45,0.2192,low (.2 .4],0.1181,Ideology
16,C,L,2,C-L,SBERT,0.6199,0.004,0.7258,0.0038,45,0.0472,negligible (-1 .2],0.1058,Ideology
16,LC,L,1,LC-L,BoW,0.563,0.0025,0.67,0.005,45,0.2736,low (.2 .4],0.1071,Ideology
16,LC,L,1,LC-L,SBERT,0.5866,0.0043,0.6805,0.0037,45,0.2943,low (.2 .4],0.0939,Ideology
32,ER,R,1,ER-R,BoW,0.5591,0.0043,0.5942,0.0063,45,0.6174,strong (.6 .8],0.0351,Ideology
32,ER,R,1,ER-R,SBERT,0.5795,0.0057,0.6294,0.0057,45,0.6701,strong (.6 .8],0.0499,Ideology
32,ER,RC,2,ER-RC,BoW,0.6664,0.0059,0.7213,0.0067,45,0.7347,strong (.6 .8],0.0549,Ideology
32,ER,RC,2,ER-RC,SBERT,0.7078,0.0073,0.7732,0.006,45,0.7954,strong (.6 .8],0.0654,Ideology
32,ER,C,3,ER-C,BoW,0.6757,0.0052,0.7328,0.0061,45,0.613,strong (.6 .8],0.0571,Ideology
32,ER,C,3,ER-C,SBERT,0.7226,0.0051,0.7962,0.0057,45,0.6793,strong (.6 .8],0.0736,Ideology
32,ER,LC,4,ER-LC,BoW,0.6745,0.004,0.7162,0.008,45,0.5419,moderate (.4 .6],0.0418,Ideology
32,ER,LC,4,ER-LC,SBERT,0.7056,0.0048,0.7877,0.0054,45,0.5683,moderate (.4 .6],0.082,Ideology
32,ER,L,5,ER-L,BoW,0.6531,0.0047,0.7078,0.0081,45,0.6075,strong (.6 .8],0.0547,Ideology
32,ER,L,5,ER-L,SBERT,0.6567,0.0049,0.7275,0.0053,45,0.6552,strong (.6 .8],0.0708,Ideology
32,R,RC,1,R-RC,BoW,0.5981,0.0038,0.6687,0.0043,45,0.4988,moderate (.4 .6],0.0705,Ideology
32,R,RC,1,R-RC,SBERT,0.6115,0.0048,0.672,0.0051,45,0.7379,strong (.6 .8],0.0605,Ideology
32,R,C,2,R-C,BoW,0.6132,0.0038,0.7048,0.0045,45,0.7269,strong (.6 .8],0.0916,Ideology
32,R,C,2,R-C,SBERT,0.638,0.0048,0.7156,0.0053,45,0.8471,very strong (.8 1],0.0776,Ideology
32,R,LC,3,R-LC,BoW,0.604,0.0042,0.699,0.0065,45,0.7914,strong (.6 .8],0.095,Ideology
32,R,LC,3,R-LC,SBERT,0.6147,0.0057,0.6969,0.0062,45,0.8847,very strong (.8 1],0.0822,Ideology
32,R,L,4,R-L,BoW,0.6188,0.0038,0.7118,0.0043,45,0.4853,moderate (.4 .6],0.093,Ideology
32,R,L,4,R-L,SBERT,0.6145,0.0049,0.691,0.0042,45,0.4765,moderate (.4 .6],0.0765,Ideology
32,RC,C,1,RC-C,BoW,0.5585,0.0031,0.6249,0.0039,45,0.5146,moderate (.4 .6],0.0664,Ideology
32,RC,C,1,RC-C,SBERT,0.5595,0.0038,0.6134,0.0049,45,0.7427,strong (.6 .8],0.0538,Ideology
32,RC,LC,2,RC-LC,BoW,0.5483,0.0023,0.6075,0.0039,45,0.469,moderate (.4 .6],0.0591,Ideology
32,RC,LC,2,RC-LC,SBERT,0.5457,0.0027,0.5978,0.0037,45,0.497,moderate (.4 .6],0.052,Ideology
32,RC,L,3,RC-L,BoW,0.6225,0.0041,0.71,0.0042,45,0.612,strong (.6 .8],0.0875,Ideology
32,RC,L,3,RC-L,SBERT,0.6513,0.0052,0.7236,0.0043,45,0.7087,strong (.6 .8],0.0723,Ideology
32,C,LC,1,C-LC,BoW,0.5516,0.0022,0.6199,0.0035,45,0.3566,low (.2 .4],0.0683,Ideology
32,C,LC,1,C-LC,SBERT,0.5573,0.0028,0.6087,0.0031,45,0.3967,low (.2 .4],0.0515,Ideology
32,C,L,2,C-L,BoW,0.6111,0.0038,0.7017,0.0034,45,0.2042,low (.2 .4],0.0906,Ideology
32,C,L,2,C-L,SBERT,0.6438,0.0037,0.7258,0.0038,45,0.2211,low (.2 .4],0.0819,Ideology
32,LC,L,1,LC-L,BoW,0.5863,0.0035,0.67,0.005,45,0.3714,low (.2 .4],0.0837,Ideology
32,LC,L,1,LC-L,SBERT,0.6061,0.0044,0.6805,0.0037,45,0.4509,moderate (.4 .6],0.0744,Ideology
