Features,comp,Topic,k,Ideology,protos.random,n,comp1,comp2,Hop,protos,svm,diff,protos.diff,by
BoW,Apr-Aug,LGBT,16,RC,0.5643,10,Apr,Aug,4,0.5672,0.6624,0.0952,0.0028,Month
BoW,Apr-Aug,LGBT,32,C,0.5745,10,Apr,Aug,4,0.624,0.6715,0.0475,0.0495,Month
BoW,Apr-Aug,LGBT,32,ER,0.5371,10,Apr,Aug,4,0.5733,0.5936,0.0203,0.0362,Month
BoW,Apr-Aug,LGBT,32,L,0.612,10,Apr,Aug,4,0.7074,0.7578,0.0505,0.0954,Month
BoW,Apr-Aug,LGBT,32,LC,0.5837,10,Apr,Aug,4,0.6405,0.6894,0.0489,0.0567,Month
BoW,Apr-Aug,LGBT,32,R,0.6115,10,Apr,Aug,4,0.6707,0.7084,0.0376,0.0592,Month
BoW,Apr-Aug,LGBT,32,RC,0.5866,10,Apr,Aug,4,0.6349,0.6624,0.0275,0.0483,Month
BoW,Apr-Jul,AsylumSeekers,4,C,0.4901,10,Apr,Jul,3,0.541,0.6368,0.0958,0.0509,Month
BoW,Apr-Jul,AsylumSeekers,4,ER,0.518,10,Apr,Jul,3,0.5542,0.6211,0.0669,0.0361,Month
BoW,Apr-Jul,AsylumSeekers,4,L,0.54,10,Apr,Jul,3,0.5806,0.6573,0.0767,0.0406,Month
BoW,Apr-Jul,AsylumSeekers,4,LC,0.5175,10,Apr,Jul,3,0.5424,0.6811,0.1388,0.0248,Month
BoW,Apr-Jul,AsylumSeekers,4,R,0.4939,10,Apr,Jul,3,0.5319,0.6299,0.098,0.038,Month
BoW,Apr-Jul,AsylumSeekers,4,RC,0.521,10,Apr,Jul,3,0.549,0.641,0.092,0.028,Month
BoW,Apr-Jul,AsylumSeekers,8,C,0.5078,10,Apr,Jul,3,0.545,0.6368,0.0918,0.0372,Month
BoW,Apr-Jul,AsylumSeekers,8,ER,0.5272,10,Apr,Jul,3,0.5917,0.6211,0.0294,0.0645,Month
BoW,Apr-Jul,AsylumSeekers,8,L,0.5357,10,Apr,Jul,3,0.5917,0.6573,0.0656,0.056,Month
BoW,Apr-Jul,AsylumSeekers,8,LC,0.5272,10,Apr,Jul,3,0.5628,0.6811,0.1183,0.0357,Month
BoW,Apr-Jul,AsylumSeekers,8,R,0.5086,10,Apr,Jul,3,0.5321,0.6299,0.0978,0.0235,Month
BoW,Apr-Jul,AsylumSeekers,8,RC,0.523,10,Apr,Jul,3,0.557,0.641,0.084,0.034,Month
BoW,Apr-Jul,AsylumSeekers,16,C,0.5366,10,Apr,Jul,3,0.5793,0.6368,0.0575,0.0426,Month
BoW,Apr-Jul,AsylumSeekers,16,ER,0.5297,10,Apr,Jul,3,0.5878,0.6211,0.0333,0.0581,Month
BoW,Apr-Jul,AsylumSeekers,16,L,0.5613,10,Apr,Jul,3,0.6077,0.6573,0.0495,0.0464,Month
BoW,Apr-Jul,AsylumSeekers,16,LC,0.5435,10,Apr,Jul,3,0.5817,0.6811,0.0994,0.0383,Month
BoW,Apr-Jul,AsylumSeekers,16,R,0.503,10,Apr,Jul,3,0.5578,0.6299,0.0721,0.0548,Month
BoW,Apr-Jul,AsylumSeekers,16,RC,0.523,10,Apr,Jul,3,0.559,0.641,0.082,0.036,Month
BoW,Apr-Jul,AsylumSeekers,32,C,0.5401,10,Apr,Jul,3,0.6101,0.6368,0.0267,0.07,Month
BoW,Apr-Jul,AsylumSeekers,32,ER,0.5556,10,Apr,Jul,3,0.5817,0.6211,0.0394,0.0261,Month
BoW,Apr-Jul,AsylumSeekers,32,L,0.5788,10,Apr,Jul,3,0.6485,0.6573,0.0088,0.0697,Month
