topic,ideology,comp,n1,n2,units,vocab,jsd,cos,llr,top1,top2
GunControl,L,Apr_Jun,148,161,tokens,1778,0.147143,0.754775,4223.28,act;state;school;trump;;nra;two;'s;report;democrat,mass;nra;senat;citi;democrat;law;state;virginia;'s;beach
GunControl,L,Apr_Jun,148,161,nouns,1163,0.170492,0.74819,3080.08,house;control;people;trump;new;school;nra;shooting;violence;year,cnn;year;law;nra;city;shooting;virginia;violence;beach;people
GunControl,L,Apr_Jul,148,113,tokens,1588,0.16195,0.701607,3683.05,act;report;'s;democrat;new;nra;two;;trump;school,;'s;old;gilroy;law;california;festiv;polic;garlic;new
GunControl,L,Apr_Jul,148,113,nouns,1008,0.188044,0.715979,2665.58,group;house;new;trump;year;shooting;nra;violence;people;school,garlic;police;law;year;california;people;festival;gilroy;violence;shooting
GunControl,L,Apr_Aug,148,843,tokens,3513,0.154779,0.782067,7641.66,report;'s;two;state;democrat;one;kill;nra;new;school,republican;state;donald;call;kill;texa;dayton;control;white;'s
GunControl,L,Apr_Aug,148,843,nouns,2454,0.190704,0.722981,6126.28,house;group;new;trump;people;nra;shooting;school;violence;year,texas;trump;shooting;people;violence;el;dayton;president;control;paso
GunControl,L,Apr_Sep,148,330,tokens,2313,0.161642,0.745967,6214.67,law;two;nra;report;trump;act;school;one;nation;new,one;new;presid;odessa;republican;beto;call;control;law;trump
GunControl,L,Apr_Sep,148,330,nouns,1552,0.193531,0.729321,4815.58,house;control;new;trump;year;nra;school;violence;shooting;people,year;beto;law;control;state;people;texas;shooting;trump;violence
GunControl,L,May_Jun,154,161,tokens,1854,0.143517,0.718873,4191.16,nation;high;state;presid;one;two;law;student;nra;school,time;mass;democrat;senat;citi;nra;law;beach;state;virginia
GunControl,L,May_Jun,154,161,nouns,1205,0.173079,0.688287,3150.34,control;president;law;year;nra;shooting;people;student;violence;school,cnn;year;law;nra;shooting;virginia;beach;people;violence;city
GunControl,L,May_Jul,154,113,tokens,1647,0.163685,0.663812,3781.39,high;presid;state;new;law;nra;student;'s;two;school,'s;polic;law;california;garlic;state;new;old;gilroy;festiv
GunControl,L,May_Jul,154,113,nouns,1032,0.1854,0.740053,2735.74,president;law;people;gun;nra;shooting;school;year;violence;student,police;festival;gun;gilroy;california;year;shooting;violence;people;law
