k,comp1,comp2,Hop,comp,Features,bacc.protos,se.protos,bacc.svm,se.svm,n,corr,correlation,diff,by
8,Apr,Jun,2,Apr-Jun,SBERT,0.5417,0.0036,0.634,0.0078,30,0.4833,moderate (.4 .6],0.0924,Month
8,Apr,Jul,3,Apr-Jul,BoW,0.5399,0.0044,0.6783,0.008,30,0.4711,moderate (.4 .6],0.1384,Month
8,Apr,Jul,3,Apr-Jul,SBERT,0.5245,0.0037,0.6316,0.0087,30,0.6981,strong (.6 .8],0.1071,Month
8,Apr,Aug,4,Apr-Aug,BoW,0.5515,0.0051,0.6935,0.0093,30,0.5517,moderate (.4 .6],0.142,Month
8,Apr,Aug,4,Apr-Aug,SBERT,0.5433,0.0052,0.6528,0.009,30,0.6278,strong (.6 .8],0.1095,Month
8,Apr,Sep,5,Apr-Sep,BoW,0.5538,0.0057,0.6961,0.0101,30,0.7334,strong (.6 .8],0.1422,Month
8,Apr,Sep,5,Apr-Sep,SBERT,0.5371,0.0062,0.6487,0.0079,30,0.679,strong (.6 .8],0.1116,Month
8,May,Jun,1,May-Jun,BoW,0.5457,0.0042,0.6549,0.0064,30,0.4644,moderate (.4 .6],0.1091,Month
8,May,Jun,1,May-Jun,SBERT,0.5333,0.0041,0.6226,0.007,30,0.3809,low (.2 .4],0.0892,Month
8,May,Jul,2,May-Jul,BoW,0.5475,0.005,0.6706,0.007,30,0.3594,low (.2 .4],0.1231,Month
8,May,Jul,2,May-Jul,SBERT,0.5353,0.0039,0.6306,0.0056,30,0.2538,low (.2 .4],0.0953,Month
8,May,Aug,3,May-Aug,BoW,0.5481,0.0064,0.69,0.0079,30,0.7562,strong (.6 .8],0.1419,Month
8,May,Aug,3,May-Aug,SBERT,0.5473,0.0062,0.651,0.0092,30,0.8112,very strong (.8 1],0.1037,Month
8,May,Sep,4,May-Sep,BoW,0.5581,0.0057,0.6931,0.0081,30,0.7972,strong (.6 .8],0.135,Month
8,May,Sep,4,May-Sep,SBERT,0.5486,0.0051,0.6531,0.0066,30,0.4978,moderate (.4 .6],0.1045,Month
8,Jun,Jul,1,Jun-Jul,BoW,0.5251,0.0033,0.6321,0.0058,30,0.0271,negligible (-1 .2],0.107,Month
8,Jun,Jul,1,Jun-Jul,SBERT,0.5282,0.0039,0.6081,0.0042,30,0.3787,low (.2 .4],0.0799,Month
8,Jun,Aug,2,Jun-Aug,BoW,0.5504,0.0056,0.6764,0.0077,30,0.5683,moderate (.4 .6],0.126,Month
8,Jun,Aug,2,Jun-Aug,SBERT,0.5443,0.0056,0.6468,0.0081,30,0.7481,strong (.6 .8],0.1025,Month
8,Jun,Sep,3,Jun-Sep,BoW,0.5639,0.0043,0.6884,0.0078,30,0.4908,moderate (.4 .6],0.1246,Month
8,Jun,Sep,3,Jun-Sep,SBERT,0.5535,0.0059,0.6507,0.0081,30,0.5447,moderate (.4 .6],0.0972,Month
8,Jul,Aug,1,Jul-Aug,BoW,0.5338,0.0069,0.6502,0.0077,30,0.7625,strong (.6 .8],0.1164,Month
