k,comp1,comp2,Hop,comp,Features,bacc.protos,se.protos,bacc.svm,se.svm,n,corr,correlation,diff,by
4,Jun,Jul,1,Jun-Jul,SBERT,0.5605,0.0043,0.6081,0.0042,30,0.5994,moderate (.4 .6],0.0476,Month
4,Jun,Aug,2,Jun-Aug,BoW,0.5932,0.0084,0.6764,0.0077,30,0.6321,strong (.6 .8],0.0832,Month
4,Jun,Aug,2,Jun-Aug,SBERT,0.5866,0.0069,0.6468,0.0081,30,0.8579,very strong (.8 1],0.0602,Month
4,Jun,Sep,3,Jun-Sep,BoW,0.6054,0.0069,0.6884,0.0078,30,0.83,very strong (.8 1],0.0831,Month
4,Jun,Sep,3,Jun-Sep,SBERT,0.5967,0.0067,0.6507,0.0081,30,0.7043,strong (.6 .8],0.054,Month
4,Jul,Aug,1,Jul-Aug,BoW,0.5725,0.0089,0.6502,0.0077,30,0.6729,strong (.6 .8],0.0777,Month
4,Jul,Aug,1,Jul-Aug,SBERT,0.5657,0.0075,0.6197,0.0082,30,0.8188,very strong (.8 1],0.054,Month
4,Jul,Sep,2,Jul-Sep,BoW,0.5966,0.0067,0.6815,0.0071,30,0.6326,strong (.6 .8],0.0849,Month
4,Jul,Sep,2,Jul-Sep,SBERT,0.5874,0.0063,0.6387,0.0068,30,0.6056,strong (.6 .8],0.0514,Month
4,Aug,Sep,1,Aug-Sep,BoW,0.5704,0.0052,0.659,0.0085,30,0.7535,strong (.6 .8],0.0886,Month
4,Aug,Sep,1,Aug-Sep,SBERT,0.5621,0.0059,0.6138,0.0079,30,0.7595,strong (.6 .8],0.0517,Month
8,Jan,Feb,1,Jan-Feb,BoW,0.5858,0.006,0.6333,0.0068,30,0.8181,very strong (.8 1],0.0474,Month
8,Jan,Feb,1,Jan-Feb,SBERT,0.5672,0.0067,0.6025,0.0071,30,0.7953,strong (.6 .8],0.0353,Month
8,Jan,Mar,2,Jan-Mar,BoW,0.602,0.0071,0.6634,0.0077,30,0.6754,strong (.6 .8],0.0613,Month
8,Jan,Mar,2,Jan-Mar,SBERT,0.5843,0.0059,0.6222,0.0076,30,0.8403,very strong (.8 1],0.038,Month
8,Jan,Apr,3,Jan-Apr,BoW,0.5989,0.0081,0.6691,0.0102,30,0.8056,very strong (.8 1],0.0702,Month
